Username,Song Name, Score, Time
User,perfect_fifth.mid,2000,2017.04.13.23.01.11
User,perfect_fourth.mid,2000,2017.04.13.23.06.53
User,perfect_fourth.mid,2000,2017.04.13.23.07.12
User,perfect_fourth.mid,1500,2017.04.13.23.07.34
